Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT3G63170	-0.197930401546568	4.78392478955071	-1.43626935809157	0.165861906637565	0.302942603392937	-5.65629485341419
AT5G39471	0.581696840170127	-0.423068691654025	1.43621656312344	0.165876754788996	0.302942603392937	-4.73852005191611
AT3G12650	0.160791686635807	4.49319974546012	1.4361854478294	0.165885506212746	0.302942603392937	-5.62244041659747
AT1G22630	-2.05304072395074	1.93424315984825	-1.43537982153166	0.166112224835707	0.303325854682012	-4.94407957598302
AT1G65110	0.521408920791	-0.31311041816733	1.43528441209452	0.166139091433447	0.303325854682012	-4.69826161744023
AT5G65880	0.313408646238048	2.83688742942351	1.43527840408663	0.166140783361809	0.303325854682012	-5.32448125758642
AT1G18150	-0.225575130948761	6.11941647047319	-1.43523529331619	0.166152924289051	0.303325854682012	-5.80539299554494
AT2G08780	1.0048745980838	-1.81703668575762	1.43493576895745	0.166237296616772	0.303451484092475	-4.53508516935255
AT5G03900	-0.166305407598973	4.79230678066003	-1.43488879824757	0.166250530824668	0.303451484092475	-5.67448457027581
AT5G23530	-0.283553002879724	6.09543674127038	-1.43479378630133	0.166277303466296	0.303474074205153	-5.81054827026892
AT2G38130	0.170928314615879	4.85233710822734	1.43452148236179	0.166354053054396	0.303587865845958	-5.67341195439092
AT4G30530	0.234195945952245	7.19253124306574	1.43425008191479	0.166430576441174	0.303701225015577	-5.82366454966712
AT1G07030	0.196805566754795	4.59096676292573	1.43414567046151	0.166460023598428	0.303728667658173	-5.64679684943306
AT4G23980	0.224043974712804	5.89228558554136	1.43407988215251	0.166478580031599	0.303736235681678	-5.79942120514384
AT4G08160	-0.360941342893335	4.64895293968931	-1.43393409854506	0.166519706109854	0.303784976615813	-5.69183858052377
AT5G38340	-0.36859706351776	3.86082809457291	-1.43375016392278	0.166571606424643	0.303853363052221	-5.50671988389299
AT1G78600	-0.173157545496773	4.84883333858272	-1.43357588898798	0.166620793136119	0.303916788034039	-5.69292664904738
AT2G03750	-2.61311693728977	0.870687674215128	-1.43343753306722	0.166659850544048	0.303939613744413	-4.74650551268715
AT4G33130	0.30811276142165	3.5401319956814	1.43342940964508	0.166662143988219	0.303939613744413	-5.45768940135914
AT1G49010	-2.00503818502023	0.420585431755633	-1.43330167923126	0.166698208810523	0.303979086654483	-4.69667288960794
AT3G24730	-0.235761468639162	3.12290126076066	-1.433244283902	0.166714416495192	0.303982345793499	-5.38622109604589
AT3G26740	-1.7318094893073	0.395608497839913	-1.43303620293651	0.166773186479762	0.304063204548814	-4.72075028639831
AT3G50240	0.266504647500446	3.80427595460162	1.43296528396036	0.166793220517191	0.304073431505872	-5.50943806218587
AT1G53970	0.643894387677767	-0.882113459660082	1.43284978046602	0.166825853477303	0.304095964019191	-4.63544284848484
AT3G54540	0.104761591278965	6.69082977289936	1.43281942048878	0.166834431872957	0.304095964019191	-5.82306026740008
AT1G43690	0.0911832507767709	6.42718077981289	1.4327095110634	0.166865490424064	0.304104166749193	-5.81914926224632
AT1G61340	0.659707854390734	1.61670631131371	1.43270139356383	0.166867784477605	0.304104166749193	-5.0371884835354
AT3G55700	0.841918109779042	-0.0193991872773105	1.43258980303057	0.166899323203748	0.304135350374742	-4.72890256190696
